country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2,95.7,88.4,91.2,96.3,99.6,95.2,101,97.3,94.8,100,92.3,,,95.8,105,,,,,,,,
Afghanistan,,,,,30.9,,,31.7,34.3,,45.3,57.1,,,30.3,29.6,,,,,,,,50.6,,,,,,,,,,,,,,,,,,,,,,,99.4,105,107,104,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.8,45.5,48.4,62.4,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,,,,99.2,102,,102,101,,,107,105,106,104,108,116,102,111,108,108,112,107,106,101,101,101
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,102,96.4,,,,,,,,,,66.8,63.6,72.4,65.6,70.3,66.3,63.7,64.1,
UAE,,,,,40.4,40.8,54,60.4,64,66.1,64.8,66.8,80.7,81.7,78.9,77.1,75.1,69.4,66.5,73.5,82.4,89.8,90,88,88.4,88.9,84.7,79.4,79.2,86.1,94.8,100,100,,,,,,,,,,85.6,95,112,130,,,,115,103,,
Argentina,66.9,69.1,,,,75.3,74.9,,,,,,,,,,,,,,,,,,,,90.7,89.8,98.8,98.1,98.6,97.9,101,98.4,96.8,93.9,95.1,97.8,102,103,103,103,103,103,105,106,105,101,99.5,99.7,103,105,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.7,87,101,93.1,91.3,96,98.8,,91.3,93.4,93.3,,95.7,94.3,106,104,102,98.3,102,101,93.1
Antigua and Barbuda,,,,,,73.4,77.8,,,,,,,,,,,,,,,,92.6,,,,,,,,,,,,,,,,110,103,120,124,,113,129,102,106,109,101,102,,,
Austria,,92.6,95.3,95.8,,,,,,,,,,,,,,,,,,,,,,,,,99.3,99.4,,,99.5,,102,,,,,,,101,96.2,99.2,96.6,100,97.7,98.4,97.3,99.9,97.8,99.6,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.8,96.3,94.6,95.1,96.3,97.3,92.2,97.8,91.7,92.1,90,93.3,92.3,89.4,98.6,105,113,107,99.9,100,98,96.6,100
Burundi,,8.49,,15.2,14.8,15.3,14,14.3,13.6,13.4,13.5,13.7,15.9,21.3,28.8,30.2,32.2,32.2,43.8,36.7,45.5,46,51.6,55.5,,,,,,,27.3,28.6,29.3,35.4,39.6,40.3,,53.3,45.9,51.2,55.9,59.5,62.9,67.8,64.3,57.3,58.9,58.5,52.8,48.8,45.4,44.7,42.6
Belgium,,,,,68.3,69.3,69,71,75.6,68.3,68.1,73.1,72.5,67.4,72,72.3,72.8,73.2,73.1,,,73.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,24.8,28.5,28.7,27.6,34.6,33.2,32.8,35.4,36.7,38,41.4,43.1,49.5,39,45,41.1,39.8,36.4,36,25.4,28.1,28.3,30.9,33.3,39.1,42.3,45.3,48.6,,47.3,52.1,54.5,58.5,61.1,,,,71.2,,73.1,77.1,78.5,83.4,82.8,82.6,81.6,,,64.8,63,74.2,67.2
Burkina Faso,,10.1,9.25,9.34,8.72,9.87,9.82,10.8,11.2,12.3,12.1,13.5,13.7,14.5,15.2,17.8,,19.9,21.1,20.7,24.3,24.2,30.6,31.7,32.3,21.1,26.2,,,25.9,28.1,30,30.5,31.8,33.2,34.8,35.8,38.3,42.3,46.2,49.2,55.6,57.7,61.4,58.5,59.6,58.4,59.2,60.3,58.6,58,59.2,53.2
Bangladesh,,,,,,,56.5,,,,,33.4,,,,,,,,,,,,,,,,,,,,,,,,63.7,,,54.9,60.7,61.8,,,,,,,,,,,118,101
Bulgaria,,,,,,,,,,,,,,,,,97.7,103,105,106,104,93.2,93.6,89.5,89.8,88.5,92.4,95,96.8,98.3,96.1,102,102,103,105,105,108,104,104,100,100,101,100,98.4,99.4,97.7,96.7,96,94.3,92.1,91.5,90.4,
Bahrain,,,,,,,,,,,,,98.8,85.7,82.2,86.6,83.3,82.6,89.4,94.1,,95.4,89.9,85.3,75.7,75.6,75.5,,77.2,83.8,81.6,80.8,86.1,86.4,87.5,90.8,,,,,,92.7,98.2,105,104,99,99.5,101,97.3,99.8,,,92.5
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,,,,,,92.3,89.5,94.1,88.3,87.1,79.5,85.2,88.6,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,78.2,77.3,76.5,84.7,91.9,91.6,90.8,89.3,91.3,91,88.4,87.5
Belarus,,,,,,,,,,,,,,,,,,,,,,,,92.4,96.1,95.9,90.9,96.3,,101,105,111,135,106,108,108,105,102,95.4,,,100,98.8,96,95.3,95.3,94.5,96.8,97.3,100,96.6,94.4,95.3
Belize,,,,,,,,,,,,,,,,,,,,,,,93.4,,,92.2,98.5,,,97.7,101,98.1,,96,99.6,103,103,101,97.5,99.1,102,102,106,102,105,106,106,103,105,103,105,115,107
Bermuda,,,,,,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,107,108,109,,,,,,,,120,117,108,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3,94.6,95.7,93.6,90.3,88.7,89,90.1,91.3,87.2,87.9,,
