country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.8,94.6,99.9,102,92.6,96.9,98.3,103,105,102,96.1,99.2,,,106,106,,,,,,,,
Afghanistan,,,,,4.7,,,5.82,6.66,,9.44,14,,,12.9,12.1,,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,65.6,69,69.8,67.5,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6,36.5,36.2,35.9,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,90.6,,,,99.2,100,,98.8,97.3,,,107,104,106,102,109,115,97.1,113,106,107,108,105,97.7,97.4,95.6,94.8
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.7,102,106,,,,,,,,,,65.7,68.6,64.2,66.1,62.4,62,61.6,60.1,
UAE,,,,,31.5,43.2,50.2,56.5,58.1,63.2,67.4,72.2,81.6,84.1,84.2,79.3,82.8,81,75.6,79.7,86,92.1,92.1,91.1,92,91.4,88,86.7,86.7,91.7,95.1,97.5,97.5,,,,,,,,,,98.9,105,113,121,,,,123,108,,
Argentina,73.1,75.1,,,,81.7,81.1,,,,,,,,,,,,,,,,,,,,94.7,95,104,101,101,101,103,101,98.8,95.8,96.7,99.5,103,104,104,104,104,104,106,106,108,102,101,101,105,106,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.7,86.5,99,93.9,92.8,97.5,98.5,,91.9,93.5,93.8,,93.3,94.1,104,102,98.6,96,102,100,91.1
Antigua and Barbuda,,,,,,74.2,73.4,,,,,,,,,,,,,,,,84.3,,,,,,,,,,,,,,,,109,104,118,114,,115,109,99.1,99.2,106,108,108,,,
Austria,,95,97.1,96.5,,,,,,,,,,,,,,,,,,,,,,,,,99.9,98.9,,,99.5,,100,,,,,,,100,96.8,98.5,98.1,98.6,96.6,98.9,98.2,99,97.4,100,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5,94,101,90.2,94.9,89.6,90.9,98.5,89.7,91.4,89,92.2,91.6,86.5,97.6,102,110,108,101,100,99.2,96.5,99
Burundi,,3.01,,6.77,7.51,8.05,7.86,7.79,7.78,8.01,8.05,8.03,9.54,12.9,17.3,17.6,19.6,19.1,27.2,24.9,31.7,39.8,39.5,42.9,,,,,,,23,23.3,23.4,26.5,27.1,31.4,,45.2,39.9,47.9,53.6,59.7,66.2,74.8,73.9,66.9,69.2,68,61.6,57.9,53,53.4,51.7
Belgium,,,,,70.6,70.5,70.2,74,75.4,71,72,76.8,79.5,72.7,77.3,77.4,77.7,77.9,77.6,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
